,0
0,3.61825e-06
1,1.5372500000000002e-06
2,7.94375e-06
3,3.7107500000000004e-06
4,7.1925e-07
5,2.08275e-06
6,1.08925e-06
7,3.5350000000000004e-07
8,6.240000000000001e-07
9,5.577500000000001e-07
10,2.1170000000000002e-06
11,1.0747500000000002e-06
12,6.477500000000001e-07
13,6.898000000000001e-06
14,3.939e-06
15,1.099e-06
16,4.595e-07
17,7.875000000000001e-07
18,3.3537500000000003e-06
19,2.4762500000000002e-06
20,1.7825e-06
21,4.71e-07
22,1.072e-06
23,2.2742500000000003e-06
24,3.615e-07
25,3.7842500000000002e-06
26,1.71325e-06
27,2.139e-06
28,4.243750000000001e-06
29,6.15925e-06
30,8.74e-07
31,4.129000000000001e-06
32,3.056e-06
33,3.39675e-06
34,1.102e-06
35,7.1725e-07
36,1.99675e-06
37,2.36025e-06
38,9.130000000000001e-07
39,8.355000000000001e-07
40,1.0005e-06
41,3.90075e-06
42,6.588250000000001e-06
43,3.5100000000000003e-06
44,4.56525e-06
45,1.87125e-06
46,4.604e-06
47,7.5677500000000005e-06
48,1.2065e-06
49,1.2777500000000002e-06
50,6.865e-07
51,6.16075e-06
52,3.2070000000000004e-06
53,1.99625e-06
54,1.00525e-06
55,1.2795e-06
56,1.8995000000000002e-06
57,7.875000000000001e-07
58,2.49525e-06
59,9.82e-07
60,1.25125e-06
61,4.177e-06
62,1.9395000000000002e-06
63,2.6640000000000002e-06
64,1.14375e-06
65,2.4575000000000004e-07
66,2.93975e-06
67,1.1015000000000002e-06
68,1.1800000000000001e-06
69,1.48e-06
70,3.861e-06
71,1.2340000000000002e-06
72,3.5150000000000002e-06
73,7.2775e-07
74,9.325000000000001e-07
75,5.82e-07
76,6.04525e-06
77,1.604e-06
78,2.4560000000000003e-06
79,1.5335e-06
80,7.024750000000001e-06
81,9.512500000000001e-07
82,3.0865e-06
83,5.065e-07
84,4.7455000000000006e-06
85,3.202e-06
86,5.1047500000000005e-06
87,5.43025e-06
88,2.4625e-07
89,2.9925000000000004e-07
90,4.845e-07
91,4.70175e-06
92,6.2575e-07
93,3.85025e-06
94,3.3545000000000002e-06
95,3.9425e-07
96,3.208e-06
97,1.5507500000000001e-06
98,5.565e-07
99,2.0565e-06
100,1.6162500000000002e-06
101,3.39175e-06
102,1.12375e-06
103,3.0875e-07
104,1.98e-06
105,3.90475e-06
106,3.5982500000000002e-06
107,1.317e-06
108,1.4547500000000001e-06
109,8.555e-07
110,4.855e-07
111,5.5945e-06
112,3.235e-07
113,2.2255e-06
114,1.4025000000000001e-06
115,9.070000000000001e-07
116,3.4675e-07
117,2.8280000000000003e-06
118,5.278250000000001e-06
119,1.8717500000000001e-06
120,5.061e-06
121,8.7675e-07
122,1.3600000000000001e-06
123,1.1425e-06
124,2.8247500000000004e-06
125,1.5677500000000002e-06
126,5.210000000000001e-07
127,3.0082500000000004e-06
128,3.94575e-06
129,1.3595e-06
130,1.55575e-06
131,5.947750000000001e-06
132,8.1175e-07
133,1.3135e-06
134,2.58025e-06
135,4.3050000000000005e-07
136,1.6120000000000002e-06
137,5.052500000000001e-07
138,6.6232500000000005e-06
139,3.5855000000000002e-06
140,9.205250000000001e-06
141,4.308250000000001e-06
142,1.213e-06
143,5.215250000000001e-06
144,4.55675e-06
145,1.156e-06
146,8.595000000000001e-07
147,2.0225e-07
148,8.80275e-06
149,3.7580000000000003e-06
150,1.8437500000000001e-06
151,9.9e-07
152,4.84525e-06
153,8.407500000000001e-07
154,1.8885000000000002e-06
155,6.755e-07
156,6.046e-06
157,3.3860000000000003e-06
158,2.3737500000000004e-06
159,3.00525e-06
160,6.087500000000001e-06
161,6.0525e-07
162,8.57e-07
163,2.8220000000000003e-06
164,1.3192500000000001e-06
165,9.057500000000001e-07
166,9.310000000000001e-07
167,5.568750000000001e-06
168,8.1525e-07
169,1.6742500000000001e-06
170,5.730250000000001e-06
171,1.5087500000000002e-06
172,1.95075e-06
173,2.08775e-06
174,2.453e-06
175,4.063e-06
176,6.841e-06
177,4.1365e-06
178,9.93e-06
179,3.5042500000000004e-06
180,4.457750000000001e-06
181,1.7550000000000001e-06
182,2.81425e-06
183,1.1452500000000002e-06
184,1.68425e-06
185,2.9732500000000003e-06
186,8.632500000000001e-07
187,1.6387500000000002e-06
188,4.970000000000001e-07
189,1.72175e-06
190,1.1045e-06
191,1.8837500000000002e-06
192,2.2975e-07
193,2.8275e-07
194,2.5442500000000002e-06
195,2.01125e-06
196,3.4075000000000003e-07
197,1.1205000000000001e-06
198,1.3642500000000001e-06
199,9.090000000000001e-06
200,5.513500000000001e-06
201,1.8605e-06
202,2.4625e-07
203,1.2865e-06
204,2.2997500000000003e-06
205,8.476e-06
206,4.4545e-06
207,1.3860000000000002e-06
208,3.3062500000000003e-06
209,9.09525e-06
210,2.14275e-06
211,3.7547500000000003e-06
212,1.5652500000000002e-06
213,2.376e-06
214,3.6577500000000003e-06
215,3.1390000000000004e-06
216,5.040000000000001e-07
217,2.0670000000000003e-06
218,4.98325e-06
219,2.2870000000000003e-06
220,3.5907500000000003e-06
221,4.0525e-07
222,7.0845000000000005e-06
223,1.7145e-06
224,1.81175e-06
225,6.562750000000001e-06
226,5.795e-07
227,9.208e-06
228,1.1380000000000002e-06
229,5.0095e-06
230,2.22975e-06
231,9.580750000000001e-06
232,2.7627500000000004e-06
233,2.7475e-07
234,8.370000000000001e-07
235,7.069e-06
236,1.3315e-06
237,3.4122500000000002e-06
238,4.2757500000000005e-06
239,3.631e-06
240,3.63e-07
241,4.2417500000000005e-06
242,8.91e-07
243,4.12e-06
244,4.6125000000000003e-07
245,1.6687500000000001e-06
246,4.8965000000000005e-06
247,2.12675e-06
248,3.3860000000000003e-06
249,2.81675e-06
250,2.87175e-06
251,2.5062500000000004e-06
252,2.3100000000000002e-07
253,5.2235e-06
254,1.5567500000000002e-06
255,7.987500000000001e-07
256,2.7075e-07
257,1.44875e-06
258,9.99e-07
259,3.807e-06
260,3.3185e-06
261,4.125e-07
262,4.8225e-07
263,5.541e-06
264,1.7317500000000002e-06
265,2.119e-06
266,7.54e-07
267,9.4325e-07
268,4.01975e-06
269,2.17625e-06
270,2.22225e-06
271,1.72725e-06
272,3.76775e-06
273,6.2225e-06
274,5.37375e-06
275,6.727250000000001e-06
276,2.54e-07
277,4.34625e-06
278,2.1382500000000002e-06
279,4.6000000000000004e-07
280,1.5142500000000002e-06
281,3.0625000000000003e-07
282,2.573e-06
283,5.355e-07
284,5.91e-07
285,2.4670000000000003e-06
286,4.05025e-06
287,2.008e-06
288,3.9355e-06
289,2.9275000000000003e-06
290,2.0625e-07
291,1.134e-06
292,2.014e-06
293,6.3215e-06
294,2.40025e-06
295,3.970250000000001e-06
296,1.7180000000000001e-06
297,4.3600000000000004e-07
298,4.504500000000001e-06
299,2.2315e-06
300,1.1447500000000001e-06
301,5.526e-06
302,5.017e-06
303,3.745e-07
304,3.4800000000000005e-07
305,1.6305e-06
306,7.747500000000001e-07
307,1.133e-06
308,3.76175e-06
309,2.6495000000000002e-06
310,1.13e-06
311,2.8325e-07
312,2.2595e-06
313,3.328e-06
314,1.3587500000000001e-06
315,3.6865e-06
316,2.006e-06
317,1.348e-06
318,4.7165000000000005e-06
319,3.4975e-07
320,3.97e-07
321,4.0325e-06
322,7.6575e-07
323,8.68425e-06
324,1.3247500000000001e-06
325,5.883e-06
326,2.1442500000000003e-06
327,5.755e-06
328,2.6375e-07
329,3.7037500000000003e-06
330,4.55575e-06
331,6.61e-07
332,6.28325e-06
333,2.234e-06
334,1.836e-06
335,3.2425e-07
336,1.17125e-06
337,7.67125e-06
338,3.569e-06
339,1.24775e-06
340,1.9685000000000003e-06
341,1.19375e-06
342,2.3540000000000002e-06
343,5.957500000000001e-07
344,3.4565000000000003e-06
345,5.423500000000001e-06
346,7.195000000000001e-07
347,1.6395000000000001e-06
348,1.03125e-06
349,6.9075e-07
350,2.6475000000000004e-07
351,5.1175e-07
352,2.17175e-06
353,1.2937500000000001e-06
354,2.065e-06
355,7.683e-06
356,5.3495e-06
357,1.12675e-06
358,6.890000000000001e-07
359,6.142500000000001e-07
360,2.989e-06
361,1.3015000000000002e-06
362,4.5450000000000005e-07
363,4.2722500000000005e-06
364,1.0190000000000001e-06
365,6.252500000000001e-07
366,3.5425000000000004e-07
367,4.5017500000000006e-06
368,2.66975e-06
369,1.7670000000000002e-06
370,8.787500000000001e-07
371,1.9345000000000003e-06
372,4.44e-07
373,2.999e-06
374,3.12825e-06
375,6.335000000000001e-07
376,1.444e-06
377,1.26225e-06
378,3.93025e-06
379,3.25925e-06
380,7.767250000000001e-06
381,6.8975e-07
382,8.565000000000001e-07
383,5.74e-07
384,3.5625000000000003e-07
385,3.6550000000000004e-07
386,7.965e-07
387,1.0165000000000001e-06
388,4.5975e-07
389,2.384e-06
390,4.428000000000001e-06
391,4.982500000000001e-07
392,8.83625e-06
393,2.8747500000000003e-06
394,3.10775e-06
395,4.0175e-07
396,4.381e-06
397,3.1175e-07
398,5.18525e-06
399,1.5427500000000002e-06
400,1.3275e-06
401,2.49025e-06
402,4.93e-07
403,2.0560000000000003e-06
404,1.81e-06
405,1.9497500000000003e-06
406,7.3460000000000005e-06
407,7.09e-07
408,1.6127500000000001e-06
409,3.96525e-06
410,2.37975e-06
411,2.65175e-06
412,2.78025e-06
413,1.6870000000000001e-06
414,9.1375e-07
415,6.28e-06
416,2.2575000000000002e-07
417,6.7132500000000005e-06
418,2.2692500000000003e-06
419,4.772500000000001e-07
420,1.97675e-06
421,1.4725e-06
422,4.4775e-07
423,5.2005000000000004e-06
424,2.317e-06
425,5.155000000000001e-07
426,1.0995e-06
427,3.6810000000000004e-06
428,8.19325e-06
429,3.3600000000000004e-07
430,2.57375e-06
431,8.273500000000001e-06
432,7.33775e-06
433,3.971000000000001e-06
434,5.5225e-06
435,3.4035e-06
436,1.64475e-06
437,2.23575e-06
438,2.55675e-06
439,4.54e-07
440,2.3800000000000001e-07
441,1.8290000000000002e-06
442,4.72225e-06
443,1.6302500000000002e-06
444,6.5895e-06
445,3.264e-06
446,6.1925e-07
447,5.2125e-07
448,9.727500000000001e-07
449,3.0682500000000002e-06
450,4.272e-06
451,2.7117500000000003e-06
452,5.061500000000001e-06
453,6.415e-07
454,1.12675e-06
455,8.005e-07
456,4.9025e-07
457,3.6052500000000003e-06
458,1.89675e-06
459,7.367500000000001e-07
460,5.71e-07
461,4.95e-06
462,1.8450000000000001e-06
463,3.4855000000000003e-06
464,4.855e-07
465,1.2825e-06
466,2.20075e-06
467,1.3315e-06
468,2.48375e-06
469,1.8697500000000002e-06
470,3.8375000000000003e-07
471,6.125000000000001e-07
472,2.6575e-07
473,1.8557500000000002e-06
474,3.18075e-06
475,8.205e-07
476,1.39425e-06
477,3.2825000000000004e-07
478,1.379e-06
479,2.7355000000000003e-06
480,1.03375e-06
481,2.9077500000000002e-06
482,1.72475e-06
483,5.785e-07
484,1.827e-06
485,1.97475e-06
486,5.65275e-06
487,2.21075e-06
488,3.074e-06
489,2.847e-06
490,5.902e-06
491,6.801000000000001e-06
492,2.408e-06
493,1.3135e-06
494,1.37125e-06
495,6.9295e-06
496,3.09925e-06
497,1.5172500000000002e-06
498,2.065e-07
499,3.36875e-06
500,1.6335000000000001e-06
501,2.0620000000000003e-06
502,1.86225e-06
503,1.263e-06
504,9.189750000000001e-06
505,5.855e-07
506,6.235e-07
507,1.47975e-06
508,1.71325e-06
509,3.484e-06
510,4.005e-07
511,3.665e-07
512,1.4237500000000001e-06
513,8.07675e-06
514,5.745000000000001e-07
515,4.2250000000000003e-07
516,5.2985e-06
517,1.19975e-06
518,8.675000000000001e-07
519,3.7435000000000002e-06
520,5.319e-06
521,4.1995e-06
522,4.6325e-07
523,5.5685e-06
524,1.016e-06
525,3.65e-06
526,1.0225000000000002e-06
527,9.8475e-07
528,3.954000000000001e-06
529,7.392500000000001e-07
530,8.7275e-07
531,1.4645000000000001e-06
532,4.0625000000000003e-07
533,9.7925e-07
534,1.568e-06
535,3.4725000000000004e-07
536,3.2772500000000003e-06
537,3.0505000000000003e-06
538,2.5075e-07
539,1.1515000000000001e-06
540,3.9175000000000005e-07
541,5.040000000000001e-07
542,6.3725e-07
543,8.887500000000001e-07
544,4.8525e-07
545,3.025e-07
546,5.195000000000001e-07
547,1.1115e-06
548,2.8330000000000002e-06
549,2.9755e-06
550,9.295000000000001e-07
551,3.13e-07
552,6.794500000000001e-06
553,6.857500000000001e-07
554,1.23075e-06
555,2.71975e-06
556,4.205500000000001e-06
557,1.27275e-06
558,6.3632500000000004e-06
559,3.4305e-06
560,5.67e-07
561,3.95525e-06
562,4.0650000000000005e-07
563,2.39775e-06
564,1.9835e-06
565,2.7925e-07
566,6.6225e-07
567,8.3895e-06
568,4.84775e-06
569,4.4600000000000005e-07
570,2.51275e-06
571,1.73275e-06
572,3.027e-06
573,8.1075e-07
574,4.2025e-07
575,2.95175e-06
576,4.75e-07
577,1.12375e-06
578,6.662500000000001e-07
579,3.8375000000000003e-07
580,2.2345e-06
581,8.1735e-06
582,2.2125000000000003e-07
583,1.39675e-06
584,2.9750000000000003e-06
585,3.203e-06
586,1.09575e-06
587,2.08875e-06
588,1.1675e-06
589,6.5275e-07
590,6.133e-06
591,6.903000000000001e-06
592,2.73425e-06
593,1.01e-06
594,8.632500000000001e-07
595,1.4505000000000001e-06
596,9.437500000000001e-07
597,4.094e-06
598,7.875000000000001e-07
599,4.1227500000000005e-06
600,7.7975e-07
601,1.1305e-06
602,1.07875e-06
603,6.06025e-06
604,5.335000000000001e-07
605,6.765e-07
606,1.00825e-06
607,4.8625e-07
608,9.045000000000001e-07
609,3.0065000000000004e-06
610,4.915000000000001e-07
611,3.2825000000000004e-07
612,3.7575e-07
613,2.5705e-06
614,1.8805e-06
615,3.6010000000000003e-06
616,1.20625e-06
617,4.52e-07
618,9.92175e-06
619,2.22225e-06
620,9.937500000000001e-06
621,6.915000000000001e-07
622,2.71625e-06
623,4.6350000000000004e-07
624,2.5985e-06
625,3.6405e-06
626,1.1860000000000002e-06
627,5.5937500000000004e-06
628,8.258000000000001e-06
629,1.8620000000000001e-06
630,3.2355e-06
631,2.2035e-06
632,4.0265e-06
633,1.9957500000000003e-06
634,3.68e-07
635,3.2525000000000003e-07
636,9.142500000000001e-07
637,9.6925e-07
638,2.6995e-06
639,1.88725e-06
640,4.4675e-06
641,2.54e-07
642,3.8952500000000005e-06
643,4.8275e-06
644,2.9215000000000003e-06
645,1.0670000000000001e-06
646,1.686e-06
647,2.0730000000000003e-06
648,4.915000000000001e-07
649,6.915750000000001e-06
650,1.4012500000000001e-06
651,1.03975e-06
652,9.060000000000001e-07
653,1.97e-06
654,1.8605e-06
655,9.7125e-07
656,2.2995e-06
657,2.78775e-06
658,1.7810000000000002e-06
659,5.6375e-07
660,3.82175e-06
661,8.5675e-06
662,4.83225e-06
663,2.0035e-06
664,3e-06
665,8.269e-06
666,4.80125e-06
667,4.3950000000000004e-07
668,2.6505000000000003e-06
669,6.662500000000001e-07
670,1.0315e-06
671,4.172e-06
672,1.5415000000000002e-06
673,1.00725e-06
674,3.785e-07
675,1.033e-06
676,2.7625e-07
677,1.7885000000000001e-06
678,4.89125e-06
679,1.91025e-06
680,1.42525e-06
681,1.1185000000000002e-06
682,6.572750000000001e-06
683,3.349e-06
684,5.9387500000000005e-06
685,1.94525e-06
686,1.16825e-06
687,2.0665e-06
688,2.938e-06
689,4.71275e-06
690,7.88e-07
691,1.06725e-06
692,3.6295e-06
693,1.037e-06
694,8.390000000000001e-06
695,4.8485e-06
696,9.865e-07
697,1.41625e-06
698,2.098e-06
699,2.7542500000000004e-06
700,7.395000000000001e-07
701,6.7715e-06
702,1.6717500000000001e-06
703,7.7675e-07
704,1.60575e-06
705,2.40225e-06
706,1.20775e-06
707,1.4285000000000002e-06
708,5.74575e-06
709,8.025e-07
710,2.62225e-06
711,4.44175e-06
712,4.7625000000000005e-07
713,1.779e-06
714,9.765e-07
715,1.6697500000000002e-06
716,1.3622500000000002e-06
717,3.1275000000000004e-07
718,2.5525e-07
719,7.0075e-07
720,4.795750000000001e-06
721,7.275e-07
722,7.860000000000001e-07
723,2.2870000000000003e-06
724,4.5975e-07
725,6.565000000000001e-07
726,3.5015000000000003e-06
727,1.89075e-06
728,1.0432500000000001e-06
729,1.16525e-06
730,3.8577500000000005e-06
731,6.372e-06
732,7.125000000000001e-07
733,2.11075e-06
734,2.8177500000000003e-06
735,2.403e-06
736,9.5975e-07
737,5.01925e-06
738,7.723250000000001e-06
739,6.7437500000000004e-06
740,1.16025e-06
741,9.507500000000001e-07
742,3.2225e-06
743,3.3437500000000004e-06
744,7.375e-07
745,8.9685e-06
746,6.47e-07
747,1.9255e-06
748,3.3045000000000003e-06
749,4.1785e-06
750,5.250000000000001e-07
751,5.9925e-07
752,2.9845000000000004e-06
753,1.8642500000000002e-06
754,2.455e-07
755,2.6900000000000004e-07
756,3.2492500000000003e-06
757,1.967e-06
758,9.252500000000001e-07
759,3.78075e-06
760,3.5335e-06
761,5.974000000000001e-06
762,1.289e-06
763,4.3190000000000005e-06
764,7.097750000000001e-06
765,1.2432500000000001e-06
766,2.012e-06
767,5.9375e-07
768,7.350000000000001e-07
769,1.51775e-06
770,1.2607500000000002e-06
771,1.3417500000000001e-06
772,1.15475e-06
773,3.72275e-06
774,9.275e-07
775,1.25925e-06
776,6.3475e-07
777,3.71275e-06
778,9.557500000000001e-07
779,7.577500000000001e-07
780,1.2155e-06
781,1.071e-06
782,5.39925e-06
783,1.0135000000000001e-06
784,4.1700000000000004e-07
785,3.7275e-07
786,3.1440000000000003e-06
787,1.24225e-06
788,3.22525e-06
789,1.3025e-06
790,1.638e-06
791,1.1162500000000001e-06
792,4.1275e-06
793,2.12875e-06
794,1.35825e-06
795,3.12575e-06
796,6.881000000000001e-06
797,2.1000000000000002e-06
798,1.667e-06
799,7.77525e-06
800,7.4175e-07
801,2.75275e-06
802,1.2912500000000001e-06
803,6.75e-07
804,1.3365e-06
805,1.3320000000000001e-06
806,6.927500000000001e-07
807,3.42975e-06
808,2.3302500000000003e-06
809,2.74e-07
810,1.7580000000000002e-06
811,4.1225e-06
812,6.6775e-06
813,5.325e-07
814,7.9775e-07
815,2.8900000000000003e-06
816,1.88475e-06
817,5.09675e-06
818,5.005e-07
819,6.92025e-06
820,3.0082500000000004e-06
821,7.014250000000001e-06
822,2.3350000000000002e-07
823,2.187e-06
824,4.9625e-07
825,1.116e-06
826,1.17725e-06
827,1.87325e-06
828,5.8675e-07
829,2.0375e-06
830,2.1127500000000002e-06
831,8.08e-07
832,6.60025e-06
833,2.5425e-07
834,1.6812500000000002e-06
835,1.1295000000000002e-06
836,2.0652500000000003e-06
837,9.55375e-06
838,1.3925e-06
839,5.197500000000001e-07
840,1.2065e-06
841,2.685e-06
842,3.2925e-07
843,5.3330000000000004e-06
844,5.7375e-07
845,1.25925e-06
846,1.4185e-06
847,2.352e-06
848,1.7935e-06
849,3.8100000000000004e-07
850,2.4237500000000003e-06
851,1.644e-06
852,8.055000000000001e-07
853,2.52775e-06
